event,event_name,market,driver,grid_pos,direction,entry_price,base_rate,edge,kelly,position_pct,stake,contracts,outcome,finish_pos,event_happened,gross_pnl,net_pnl,bankroll_after
CAGP25,Canadian Grand Prix,RACEPODIUM,PIA,3,BUY_NO,0.2019,0.4057,0.3924,0.4917,0.1229,5.95,29.48,WIN,4,False,23.41,21.88,70.29
AUGP25,Austrian Grand Prix,RACE,HAM,4,BUY_YES,0.0175,0.1111,0.0936,0.0953,0.0238,1.67,95.67,LOSS,4,False,-1.67,-1.67,68.62
AUGP25,Austrian Grand Prix,RACE,LEC,2,BUY_YES,0.0876,0.2364,0.1488,0.1631,0.0408,2.8,31.94,LOSS,3,False,-2.8,-2.8,65.82
AUGP25,Austrian Grand Prix,RACE,NOR,1,BUY_NO,0.3153,0.25,0.4347,0.6349,0.15,9.87,31.31,LOSS,1,True,-9.87,-9.87,55.95
AUGP25,Austrian Grand Prix,RACE,PIA,3,BUY_NO,0.8179,0.1132,0.0689,0.3784,0.0946,5.29,6.47,WIN,2,False,1.17,1.1,57.05
AUGP25,Austrian Grand Prix,RACEPODIUM,HAM,4,BUY_YES,0.1902,0.3704,0.1802,0.2225,0.0556,3.17,16.69,LOSS,4,False,-3.17,-3.17,53.87
AUGP25,Austrian Grand Prix,RACEPODIUM,NOR,1,BUY_NO,0.1521,0.6481,0.1998,0.2356,0.0589,3.17,20.87,LOSS,1,True,-3.17,-3.17,50.7
AUGP25,Austrian Grand Prix,RACEPODIUM,PIA,3,BUY_NO,0.2247,0.4057,0.3696,0.4767,0.1192,6.04,26.89,LOSS,2,True,-6.04,-6.04,44.66
BRGP25,British Grand Prix,RACE,NOR,3,BUY_NO,0.8006,0.1132,0.0862,0.4323,0.1081,4.83,6.03,LOSS,1,True,-4.83,-4.83,39.83
BRGP25,British Grand Prix,RACE,VER,1,BUY_NO,0.6277,0.25,0.1223,0.3285,0.0821,3.27,5.21,WIN,5,False,1.93,1.8,41.63
BRGP25,British Grand Prix,RACE,PIA,2,BUY_NO,0.6639,0.2364,0.0997,0.2966,0.0742,3.09,4.65,WIN,2,False,1.56,1.45,43.09
