round,event_code,race_name,market_type,driver,grid_pos,finish_pos,outcome,yes_vwap,no_vwap,volume,n_trades,qual_end_utc,race_start_utc
5,SAGP25,Saudi Arabia,RACE,DOO,17,17,0,0.01,0.99,473.0,3,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,ALB,11,9,0,0.01,0.99,295.0,3,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,HAM,7,7,0,0.0162,0.9838,1588.0,11,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACE,VER,1,2,0,0.4414,0.5586,26968.0,346,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACEPODIUM,PIA,2,1,1,0.7943,0.2057,1092.0,20,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACEPODIUM,VER,1,2,1,0.7282,0.2718,5078.0,63,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACEPODIUM,TSU,8,19,0,0.0161,0.9839,180.0,3,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACEPODIUM,LEC,4,3,1,0.1535,0.8465,2946.0,44,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACEPODIUM,NOR,10,4,0,0.3989,0.6011,3313.0,35,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACEPODIUM,HAM,7,7,0,0.0484,0.9516,1787.0,17,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACEPODIUM,ANT,5,6,0,0.0425,0.9575,1759.0,16,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACEPODIUM,SAI,6,8,0,0.0262,0.9738,901.0,11,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
5,SAGP25,Saudi Arabia,RACEPODIUM,RUS,3,5,0,0.5089,0.4911,3375.0,64,2025-04-19T18:20:00+00:00,2025-04-20T17:00:00+00:00
6,MGP25,Miami,RACE,TSU,10,10,0,0.01,0.99,1128.0,3,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,ALO,17,15,0,0.01,0.99,500.0,5,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,ALB,7,5,0,0.01,0.99,380.0,4,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,PIA,4,1,1,0.1832,0.8168,17708.0,256,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,NOR,2,2,0,0.3673,0.6327,24072.0,239,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,RUS,5,3,0,0.0266,0.9734,11139.0,60,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,LEC,8,7,0,0.0174,0.9826,6526.0,33,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,HAM,12,8,0,0.0183,0.9817,9399.0,32,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,VER,1,4,0,0.386,0.614,33469.0,398,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,ANT,3,6,0,0.0571,0.9429,13371.0,92,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,SAI,6,9,0,0.01,0.99,4781.0,8,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACE,HUL,16,14,0,0.01,0.99,293.0,4,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACEPODIUM,SAI,6,9,0,0.0344,0.9656,494.0,10,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACEPODIUM,VER,1,4,0,0.7873,0.2127,1569.0,25,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACEPODIUM,LEC,8,7,0,0.0662,0.9338,1381.0,27,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACEPODIUM,PIA,4,1,1,0.6825,0.3175,704.0,29,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACEPODIUM,ANT,3,6,0,0.351,0.649,4942.0,65,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACEPODIUM,HAM,12,8,0,0.0409,0.9591,1854.0,9,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACEPODIUM,ALB,7,5,0,0.0285,0.9715,154.0,4,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACEPODIUM,NOR,2,2,1,0.7802,0.2198,599.0,25,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
6,MGP25,Miami,RACEPODIUM,RUS,5,3,1,0.18,0.82,641.0,11,2025-05-03T21:20:00+00:00,2025-05-04T20:00:00+00:00
7,ERGP25,Emilia Romagna,RACE,ANT,13,19,0,0.01,0.99,1279.0,4,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACE,RUS,3,7,0,0.0435,0.9565,3095.0,37,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACE,VER,2,1,1,0.223,0.777,13861.0,182,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACE,PIA,1,3,0,0.6282,0.3718,25075.0,215,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
