round,driver,market,vwap_yes,vwap_no,n_trades,volume,price_std,grid_pos,team,finish_pos,outcome,base_rate,edge_yes,edge_no
4,NOR,winner,0.16122673874623142,0.8387732612537686,91,9619,0.04481300177632746,6,McLaren,3,0,0.032,-0.12922673874623142,0.12922673874623136
4,PIA,podium,0.8888888888888888,0.1111111111111111,6,63,0.042268979957726285,1,McLaren,1,1,0.8,-0.0888888888888888,0.08888888888888885
4,PIA,winner,0.7179952246197383,0.28200477538026175,123,11308,0.030871218318769635,1,McLaren,1,1,0.496,-0.2219952246197383,0.22199522461973825
4,RUS,podium,0.6101373895976447,0.3898626104023553,14,1019,0.045307253864555204,2,Mercedes,2,1,0.72,0.10986261040235523,-0.10986261040235529
4,RUS,winner,0.12018860759493671,0.8798113924050633,87,7900,0.02023320335595192,2,Mercedes,2,0,0.24,0.11981139240506328,-0.11981139240506333
4,TSU,podium,0.09,0.91,1,86,0.0,10,Red Bull Racing,9,0,0.04,-0.049999999999999996,0.04999999999999993
4,TSU,winner,0.9048543689320389,89.48349514563107,2,103,0.6929646455628166,10,Red Bull Racing,9,0,0.024,-0.8808543689320388,-88.50749514563107
4,VER,podium,0.22628260869565214,0.7737173913043478,17,920,0.0645117408374813,7,Red Bull Racing,6,0,0.073,-0.15328260869565213,0.15328260869565224
4,VER,winner,0.04742997648064999,1.989773358990806,42,4677,0.14833747661545654,7,Red Bull Racing,6,0,0.008,-0.03942997648064999,-0.997773358990806
5,ALB,winner,1.0,99.0,3,295,0.0,11,Williams,9,0,0.008,-0.992,-98.008
5,ALO,winner,1.0,99.0,4,1466,0.0,13,Aston Martin,11,0,0.0,-1.0,-98.0
5,ANT,podium,0.042535531552018196,0.9574644684479817,16,1759,0.03687252816574059,5,Mercedes,6,0,0.192,0.1494644684479818,-0.14946446844798167
5,ANT,winner,0.5939130434782609,58.383016858917486,4,1127,0.49,5,Mercedes,6,0,0.016,-0.5779130434782609,-57.399016858917484
5,BEA,winner,1.0,99.0,1,93,0.0,15,Haas F1 Team,13,0,0.0,-1.0,-98.0
5,BOR,winner,1.0,99.0,3,408,0.0,20,Kick Sauber,18,0,0.0,-1.0,-98.0
5,DOO,winner,1.0,99.0,3,473,0.0,17,Alpine,17,0,0.0,-1.0,-98.0
5,GAS,winner,1.0,99.0,2,186,0.0,9,Alpine,20,0,0.008,-0.992,-98.008
5,HAD,winner,1.0,99.0,2,193,0.0,14,Racing Bulls,10,0,0.0,-1.0,-98.0
5,HAM,podium,0.04836597649692221,0.9516340235030778,17,1787,0.022508168451893715,7,Ferrari,7,0,0.073,0.024634023503077786,-0.02463402350307775
5,HAM,winner,0.3896599496221662,37.953539042821156,11,1588,0.4944344795273228,7,Ferrari,7,0,0.008,-0.3816599496221662,-36.96153904282116
5,HUL,winner,1.0,99.0,2,193,0.0,18,Kick Sauber,15,0,0.0,-1.0,-98.0
5,LAW,winner,1.0,99.0,2,373,0.0,12,Racing Bulls,12,0,0.008,-0.992,-98.008
5,LEC,podium,0.15352681602172438,0.8464731839782756,44,2946,0.031471991642222426,4,Ferrari,3,1,0.352,0.1984731839782756,-0.19847318397827562
5,LEC,winner,0.3085376344086021,29.463812596006147,47,3255,0.450674897337018,4,Ferrari,3,0,0.04,-0.2685376344086021,-28.503812596006146
5,NOR,podium,0.3989073347419258,0.6010926652580743,35,3313,0.027224556389190906,10,McLaren,4,0,0.04,-0.3589073347419258,0.3589073347419257
5,NOR,winner,0.059071227538428236,0.9409287724615717,82,4619,0.009950192128625824,10,McLaren,4,0,0.024,-0.035071227538428236,0.035071227538428285
