event,round,race_name,driver,market,vwap_yes,vwap_no,n_trades,volume,price_min,price_max,price_std,grid_pos,gap_to_pole,team,finish_pos,status,is_fastest_lap,outcome,base_win,base_pod,base_rate,edge_yes,edge_no,teammate_grid_delta,is_street,high_overtaking,low_overtaking
AGP25,1,Australian Grand Prix,HAM,winner,0.0695,0.9305,21,2705,0.02,0.1,0.0193,8,0.8769999999999953,Ferrari,10,Finished,0.0,0,0.0,0.0,0.0,-0.0695,0.0695,1.0,0,0,0
AGP25,1,Australian Grand Prix,LEC,winner,0.0636,0.9364,19,1335,0.02,0.09,0.0175,7,0.6589999999999918,Ferrari,8,Finished,0.0,0,0.0,0.043478260869565216,0.0,-0.0636,0.06359999999999999,-1.0,0,0,0
AGP25,1,Australian Grand Prix,NOR,winner,0.4124,0.5876,58,3895,0.34,0.45,0.0256,1,0.0,McLaren,1,Finished,1.0,1,0.43478260869565216,0.9130434782608695,0.43478260869565216,0.022382608695652173,-0.022382608695652118,-1.0,0,0,0
AGP25,1,Australian Grand Prix,PIA,winner,0.2229,0.7771,24,1328,0.19,0.35,0.0287,2,0.08400000000000318,McLaren,9,Finished,0.0,0,0.34782608695652173,0.6521739130434783,0.34782608695652173,0.12492608695652174,-0.12492608695652174,1.0,0,0,0
AGP25,1,Australian Grand Prix,RUS,winner,0.0746,0.9254,9,353,0.06,0.09,0.0101,4,0.45000000000000284,Mercedes,3,Finished,0.0,0,0.0,0.391304347826087,0.0,-0.0746,0.0746,,0,0,0
AGP25,1,Australian Grand Prix,SAI,winner,0.2119,17.4316,14,690,0.02,1.0,0.3508,10,0.965999999999994,Williams,18,Retired,0.0,0,0.0,0.0,0.0,-0.2119,-16.4316,,0,0,0
AGP25,1,Australian Grand Prix,TSU,winner,0.0297,0.9703,5,313,0.02,0.03,0.0045,5,0.5739999999999981,Racing Bulls,12,Finished,0.0,0,0.0,0.08695652173913043,0.0,-0.0297,0.02969999999999995,,0,0,0
AGP25,1,Australian Grand Prix,VER,winner,0.3159,0.6841,115,3999,0.27,0.37,0.0205,3,0.3849999999999909,Red Bull Racing,2,Finished,0.0,0,0.21739130434782608,0.6956521739130435,0.21739130434782608,-0.09850869565217393,0.0985086956521739,,0,0,0
AUGP25,11,Austrian Grand Prix,ANT,podium,1.0,99.0,1,36,1.0,1.0,0.0,9,1.3049999999999997,Mercedes,19,Retired,0.0,0,0.0,0.0,0.0,-1.0,-98.0,4.0,0,0,0
AUGP25,11,Austrian Grand Prix,ANT,winner,0.6042,59.0193,5,510,0.02,1.0,0.534,9,1.3049999999999997,Mercedes,19,Retired,0.0,0,0.0,0.0,0.0,-0.6042,-58.0193,4.0,0,0,0
AUGP25,11,Austrian Grand Prix,HAM,podium,0.1902,0.8098,15,792,0.1,0.21,0.0354,4,0.6109999999999971,Ferrari,4,Finished,0.0,0,0.0,0.391304347826087,0.391304347826087,0.20110434782608697,-0.20110434782608688,2.0,0,0,0
AUGP25,11,Austrian Grand Prix,HAM,winner,0.3711,35.9933,49,1954,0.02,1.0,0.4707,4,0.6109999999999971,Ferrari,4,Finished,0.0,0,0.0,0.391304347826087,0.0,-0.3711,-34.9933,2.0,0,0,0
AUGP25,11,Austrian Grand Prix,LAW,podium,0.06,0.94,1,153,0.06,0.06,0.0,6,0.9550000000000054,Racing Bulls,6,Finished,0.0,0,0.0,0.08695652173913043,0.08695652173913043,0.026956521739130435,-0.026956521739130324,,0,0,0
AUGP25,11,Austrian Grand Prix,LAW,winner,1.0,99.0,1,150,1.0,1.0,0.0,6,0.9550000000000054,Racing Bulls,6,Finished,0.0,0,0.0,0.08695652173913043,0.0,-1.0,-98.0,,0,0,0
AUGP25,11,Austrian Grand Prix,LEC,podium,0.5242,0.4758,36,2227,0.3,0.67,0.1101,2,0.5210000000000079,Ferrari,3,Finished,0.0,1,0.34782608695652173,0.6521739130434783,0.6521739130434783,0.12797391304347827,-0.12797391304347827,-2.0,0,0,0
AUGP25,11,Austrian Grand Prix,LEC,winner,0.0876,0.9124,76,5030,0.06,0.1,0.008,2,0.5210000000000079,Ferrari,3,Finished,0.0,0,0.34782608695652173,0.6521739130434783,0.34782608695652173,0.2602260869565217,-0.2602260869565217,-2.0,0,0,0
AUGP25,11,Austrian Grand Prix,NOR,podium,0.8479,0.1521,7,43,0.75,0.89,0.0499,1,0.0,McLaren,1,Finished,0.0,1,0.43478260869565216,0.9130434782608695,0.9130434782608695,0.06514347826086953,-0.06514347826086953,-2.0,0,0,0
AUGP25,11,Austrian Grand Prix,NOR,winner,0.6847,0.3153,138,14788,0.66,0.71,0.0128,1,0.0,McLaren,1,Finished,0.0,1,0.43478260869565216,0.9130434782608695,0.43478260869565216,-0.2499173913043478,0.24991739130434787,-2.0,0,0,0
AUGP25,11,Austrian Grand Prix,PIA,podium,0.7753,0.2247,13,150,0.66,0.84,0.0572,3,0.5830000000000055,McLaren,2,Finished,1.0,1,0.21739130434782608,0.6956521739130435,0.6956521739130435,-0.07964782608695653,0.07964782608695653,2.0,0,0,0
AUGP25,11,Austrian Grand Prix,PIA,winner,0.1821,0.8179,84,7112,0.16,0.21,0.0123,3,0.5830000000000055,McLaren,2,Finished,1.0,0,0.21739130434782608,0.6956521739130435,0.21739130434782608,0.03529130434782607,-0.035291304347826014,2.0,0,0,0
AUGP25,11,Austrian Grand Prix,RUS,podium,0.1918,0.8082,3,34,0.06,0.2,0.0808,5,0.7920000000000087,Mercedes,5,Finished,0.0,0,0.0,0.08695652173913043,0.08695652173913043,-0.10484347826086957,0.1048434782608696,-4.0,0,0,0
AUGP25,11,Austrian Grand Prix,RUS,winner,0.0243,0.9757,14,2506,0.02,0.04,0.0058,5,0.7920000000000087,Mercedes,5,Finished,0.0,0,0.0,0.08695652173913043,0.0,-0.0243,0.02429999999999999,-4.0,0,0,0
AUGP25,11,Austrian Grand Prix,VER,podium,0.3963,0.6037,27,1190,0.26,0.41,0.0537,7,0.9580000000000055,Red Bull Racing,18,Retired,0.0,0,0.0,0.043478260869565216,0.043478260869565216,-0.3528217391304348,0.3528217391304348,,0,0,0
AUGP25,11,Austrian Grand Prix,VER,winner,0.0528,0.9472,106,11907,0.02,0.08,0.014,7,0.9580000000000055,Red Bull Racing,18,Retired,0.0,0,0.0,0.043478260869565216,0.0,-0.0528,0.05279999999999996,,0,0,0
