event,event_name,driver,qual_pos,finish_pos,fp1_pos,fp2_pos,fp3_pos,won,podium,pole,avg_race_pos,avg_qual_pos,win_rate,podium_rate,pole_rate,n_races,track_type_street,track_speed_high,track_overtaking_high,race_price_early,race_price_late,race_price_all,race_n_trades,pod_price_early,pod_price_late,pod_price_all,pod_n_trades,pole_price_early,pole_price_late,pole_n_trades
BGP25,Bahrain Grand Prix,STR,19.0,20.0,15.0,19.0,17.0,0,0,0,12.2,13.1,0.0,0.0263157894736842,0.0087719298245614,114,0,0,1,,,,0,,,,0,,,0
BGP25,Bahrain Grand Prix,TSU,10.0,14.0,9.0,18.0,20.0,0,0,0,11.5,10.4,0.0129870129870129,0.0389610389610389,0.0,77,0,0,1,0.02,0.01,0.013333333333333332,3,0.09,0.06,0.075,2,,,0
BGP25,Bahrain Grand Prix,VER,7.0,5.0,,7.0,8.0,0,0,0,5.3,2.0,0.2521739130434782,0.5826086956521739,0.3478260869565217,115,0,0,1,0.04428571428571429,0.19666666666666668,0.10310344827586207,87,0.16181818181818183,0.5581818181818182,0.38113636363636366,44,,,0
BGP25,Bahrain Grand Prix,VES,,,18.0,,,0,0,0,10.0,10.0,0.0,0.0,0.0,2,0,0,1,,,,0,,,,0,,,0
SGP25,Saudi Arabian Grand Prix,ALB,11.0,16.0,5.0,10.0,6.0,0,0,0,11.0,12.0,0.0,0.1063829787234042,0.0106382978723404,94,1,1,0,0.01,0.01,0.01,12,0.06,0.04,0.05,2,,,0
SGP25,Saudi Arabian Grand Prix,ALO,13.0,11.0,14.0,15.0,14.0,0,0,0,10.9,11.9,0.0256410256410256,0.1666666666666666,0.0,78,1,1,0,0.01,0.01,0.01,14,0.06,0.06,0.06,1,,,0
SGP25,Saudi Arabian Grand Prix,ANT,6.0,5.0,13.0,11.0,10.0,0,0,0,7.75,8.5,0.25,0.25,0.0,4,1,1,0,0.01,0.01,0.01,18,0.02,0.16,0.09375,8,,,0
SGP25,Saudi Arabian Grand Prix,BEA,15.0,13.0,18.0,16.0,16.0,0,0,0,13.2,14.5,0.0,0.0,0.0,8,1,1,0,0.01,0.01,0.01,2,,,,0,,,0
SGP25,Saudi Arabian Grand Prix,BOR,20.0,18.0,20.0,,19.0,0,0,0,12.25,17.25,0.0,0.0,0.0,4,1,1,0,,,,0,,,,0,,,0
SGP25,Saudi Arabian Grand Prix,DOO,17.0,12.0,16.0,17.0,15.0,0,0,0,14.666666666666666,15.25,0.0,0.0,0.0,8,1,1,0,,,,0,,,,0,,,0
SGP25,Saudi Arabian Grand Prix,GAS,9.0,,1.0,8.0,8.0,0,0,0,12.0,12.3,0.0258620689655172,0.0689655172413793,0.0,116,1,1,0,,,,0,0.05,0.05,0.05,1,,,0
SGP25,Saudi Arabian Grand Prix,HAD,14.0,14.0,15.0,12.0,11.0,0,0,0,8.0,9.25,0.0,0.0,0.0,6,1,1,0,,,,0,0.05,0.05,0.05,1,,,0
SGP25,Saudi Arabian Grand Prix,HAM,10.0,7.0,8.0,13.0,12.0,0,0,0,7.5,8.8,0.2260869565217391,0.5217391304347826,0.208695652173913,115,1,1,0,0.02375,0.03375,0.021875,32,0.03666666666666667,0.195,0.13416666666666666,24,,,0
SGP25,Saudi Arabian Grand Prix,HUL,18.0,15.0,12.0,9.0,17.0,0,0,0,14.8,13.0,0.0,0.0,0.0,60,1,1,0,,,,0,,,,0,,,0
SGP25,Saudi Arabian Grand Prix,LAW,12.0,10.0,11.0,14.0,13.0,0,0,0,12.444444444444445,15.666666666666666,0.0,0.0833333333333333,0.0,12,1,1,0,,,,0,,,,0,,,0
SGP25,Saudi Arabian Grand Prix,LEC,5.0,2.0,3.0,4.0,5.0,0,1,0,7.3,4.5,0.0775862068965517,0.2241379310344827,0.1896551724137931,116,1,1,0,0.02230769230769231,0.047692307692307694,0.02981818181818182,55,0.695,0.2966666666666667,0.4073076923076923,26,,,0
SGP25,Saudi Arabian Grand Prix,NOR,4.0,1.0,2.0,1.0,1.0,1,1,0,4.8,3.6,0.0603448275862069,0.1637931034482758,0.0344827586206896,116,1,1,0,0.05949367088607595,0.3120253164556962,0.1921630094043887,319,0.97,0.82,0.8466666666666667,6,,,0
SGP25,Saudi Arabian Grand Prix,OCO,19.0,17.0,19.0,19.0,18.0,0,0,0,13.8,14.1,0.0,0.0,0.0,95,1,1,0,,,,0,,,,0,,,0
SGP25,Saudi Arabian Grand Prix,PIA,2.0,3.0,4.0,2.0,2.0,0,1,0,4.7,3.4,0.1176470588235294,0.1764705882352941,0.0588235294117647,34,1,1,0,0.9256488549618321,0.4727480916030535,0.7035496183206107,524,0.9266666666666667,0.7966666666666667,0.8507142857142856,14,,,0
SGP25,Saudi Arabian Grand Prix,RUS,3.0,9.0,6.0,7.0,3.0,0,0,0,6.9,5.8,0.0603448275862069,0.1293103448275862,0.0086206896551724,116,1,1,0,0.017272727272727273,0.026363636363636363,0.022173913043478263,46,0.12,0.37,0.247,20,,,0
SGP25,Saudi Arabian Grand Prix,SAI,8.0,6.0,7.0,5.0,7.0,0,0,0,7.0,6.5,0.0258620689655172,0.1551724137931034,0.043103448275862,116,1,1,0,,,,0,,,,0,,,0
SGP25,Saudi Arabian Grand Prix,STR,16.0,8.0,17.0,18.0,20.0,0,0,0,12.3,14.3,0.0,0.0260869565217391,0.008695652173913,115,1,1,0,,,,0,,,,0,,,0
