event,event_name,driver,qual_pos,finish_pos,won,podium,pole,avg_race_pos,win_rate,podium_rate,track_type_street,race_pre_weekend_vwap,race_pre_weekend_last,race_pre_weekend_n,race_friday_vwap,race_friday_last,race_friday_n,race_saturday_vwap,race_saturday_last,race_saturday_n,race_race_day_vwap,race_race_day_last,race_race_day_n,pod_pre_weekend_vwap,pod_pre_weekend_last,pod_pre_weekend_n,pod_friday_vwap,pod_friday_last,pod_friday_n,pod_saturday_vwap,pod_saturday_last,pod_saturday_n,pod_race_day_vwap,pod_race_day_last,pod_race_day_n
BGP25,Bahrain Grand Prix,ALO,14.0,18.0,0,0,0,10.4,0.0259740259740259,0.1688311688311688,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,ANT,4.0,9.0,0,0,0,7.333333333333333,0.3333333333333333,0.3333333333333333,0,,,0,,,0,0.025,0.04,6,0.016666666666666666,0.02,3,,,0,,,0,0.1716666666666667,0.18,6,0.125,0.01,6
BGP25,Bahrain Grand Prix,BEA,20.0,15.0,0,0,0,12.75,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,BEG,,,0,0,0,10.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,BOR,18.0,19.0,0,0,0,10.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,BRO,,,0,0,0,10.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,DOO,11.0,8.0,0,0,0,18.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,DRU,,,0,0,0,10.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,GAS,5.0,7.0,0,0,0,12.3,0.0260869565217391,0.0695652173913043,0,,,0,,,0,0.02,0.02,2,0.016666666666666666,0.01,3,,,0,,,0,0.066,0.07,5,0.07333333333333333,0.07,3
BGP25,Bahrain Grand Prix,HAD,12.0,10.0,0,0,0,7.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.1,0.1,1
BGP25,Bahrain Grand Prix,HAM,9.0,6.0,0,0,0,7.1,0.2280701754385964,0.5263157894736842,0,,,0,0.05,0.05,3,0.04,0.02,4,0.02,0.02,3,,,0,,,0,0.08333333333333334,0.07,6,0.06,0.03,5
BGP25,Bahrain Grand Prix,HIR,,,0,0,0,10.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,HUL,15.0,16.0,0,0,0,14.3,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,IWA,,,0,0,0,10.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,LAW,17.0,17.0,0,0,0,11.875,0.0,0.0909090909090909,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,LEC,3.0,4.0,0,0,0,7.0,0.0782608695652174,0.2260869565217391,0,,,0,0.05,0.05,1,0.07166666666666667,0.1,42,0.05333333333333333,0.01,75,,,0,0.19571428571428573,0.19,7,0.360625,0.5,16,0.4375,0.02,16
BGP25,Bahrain Grand Prix,NOR,6.0,3.0,0,1,0,4.9,0.0608695652173913,0.1565217391304348,0,,,0,0.3775,0.39,12,0.3432167832167832,0.17,143,0.12384615384615386,0.06,91,,,0,0.72,0.74,4,0.74,0.75,2,0.7442857142857143,0.99,14
BGP25,Bahrain Grand Prix,OCO,13.0,12.0,0,0,0,14.6,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,PIA,1.0,1.0,1,1,1,5.6,0.0909090909090909,0.1515151515151515,0,,,0,0.344,0.32,5,0.5975,0.66,40,0.8140444444444445,0.99,225,,,0,0.7133333333333333,0.75,3,0.818,0.8,5,0.9,0.92,3
BGP25,Bahrain Grand Prix,RUS,2.0,2.0,0,1,0,7.4,0.0608695652173913,0.1217391304347826,0,,,0,0.06857142857142856,0.06,7,0.12767441860465115,0.06,43,0.10384615384615385,0.01,91,,,0,0.45,0.45,3,0.617,0.6,10,0.8682539682539683,0.99,63
BGP25,Bahrain Grand Prix,SAI,8.0,11.0,0,0,0,7.6,0.0260869565217391,0.1565217391304348,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,STR,19.0,20.0,0,0,0,12.2,0.0,0.0263157894736842,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
BGP25,Bahrain Grand Prix,TSU,10.0,14.0,0,0,0,11.5,0.0129870129870129,0.0389610389610389,0,,,0,,,0,0.01,0.01,2,0.02,0.02,1,,,0,,,0,0.06,0.06,1,0.09,0.09,1
BGP25,Bahrain Grand Prix,VER,7.0,5.0,0,0,0,5.3,0.2521739130434782,0.5826086956521739,0,,,0,0.19363636363636363,0.14,22,0.10333333333333333,0.05,30,0.040740740740740744,0.01,27,,,0,0.5589999999999999,0.59,10,0.3453333333333333,0.19,15,0.1846153846153846,0.02,13
BGP25,Bahrain Grand Prix,VES,,,0,0,0,10.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,ALB,11.0,16.0,0,0,0,11.0,0.0,0.1063829787234042,1,,,0,,,0,,,0,0.01,0.01,5,,,0,,,0,,,0,0.05,0.04,2
SGP25,Saudi Arabian Grand Prix,ALO,13.0,11.0,0,0,0,10.9,0.0256410256410256,0.1666666666666666,1,,,0,,,0,,,0,0.01,0.01,14,,,0,,,0,,,0,0.06,0.06,1
SGP25,Saudi Arabian Grand Prix,ANT,6.0,5.0,0,0,0,7.75,0.25,0.25,1,0.01,0.01,2,0.01,0.01,4,0.01,0.01,2,0.01,0.01,10,0.16,0.16,1,0.16,0.16,1,0.15,0.15,1,0.023333333333333334,0.02,3
SGP25,Saudi Arabian Grand Prix,BEA,15.0,13.0,0,0,0,13.2,0.0,0.0,1,,,0,,,0,,,0,0.01,0.01,2,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,BOR,20.0,18.0,0,0,0,12.25,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,DOO,17.0,12.0,0,0,0,14.666666666666666,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,GAS,9.0,,0,0,0,12.0,0.0258620689655172,0.0689655172413793,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.05,0.05,1
SGP25,Saudi Arabian Grand Prix,HAD,14.0,14.0,0,0,0,8.0,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,HAM,10.0,7.0,0,0,0,7.5,0.2260869565217391,0.5217391304347826,1,0.04,0.04,3,0.03,0.03,5,0.015,0.01,6,0.018571428571428572,0.01,14,0.15666666666666665,0.11,3,,,0,0.1814285714285714,0.15,7,0.11076923076923077,0.02,13
SGP25,Saudi Arabian Grand Prix,HUL,18.0,15.0,0,0,0,14.8,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,LAW,12.0,10.0,0,0,0,12.444444444444445,0.0,0.0833333333333333,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,LEC,5.0,2.0,0,1,0,7.3,0.0775862068965517,0.2241379310344827,1,0.05,0.05,2,0.05333333333333333,0.03,6,0.02846153846153846,0.01,13,0.019545454545454546,0.01,22,0.3466666666666666,0.35,3,,,0,,,0,0.4280952380952381,0.99,21
