year,round,circuit,country,event_name,driver,team,grid_pos,finish_pos,status,points,laps,qual_rain,race_rain,race_temp,qual_temp
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,GRO,Haas F1 Team,14,18,Brakes,0.0,38,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,KVY,Toro Rosso,6,19,Collision,0.0,33,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,RIC,Renault,10,20,Collision,0.0,31,False,False,19.76356589147287,15.898484848484848
2019,5,Barcelona,Spain,Spanish Grand Prix,HAM,Mercedes,2,1,Finished,26.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,BOT,Mercedes,1,2,Finished,18.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,VER,Red Bull Racing,4,3,Finished,15.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,VET,Ferrari,3,4,Finished,12.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,LEC,Ferrari,5,5,Finished,10.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,GAS,Red Bull Racing,6,6,Finished,8.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,MAG,Haas F1 Team,8,7,Finished,6.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,SAI,McLaren,12,8,Finished,4.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,KVY,Toro Rosso,9,9,Finished,2.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,GRO,Haas F1 Team,7,10,Finished,1.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,ALB,Toro Rosso,11,11,Finished,0.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,RIC,Renault,13,12,Finished,0.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,HUL,Renault,0,13,Finished,0.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,RAI,Alfa Romeo Racing,14,14,Finished,0.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,PER,Racing Point,15,15,Finished,0.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,GIO,Alfa Romeo Racing,18,16,Finished,0.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,RUS,Williams,19,17,+1 Lap,0.0,65,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,KUB,Williams,17,18,+1 Lap,0.0,65,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,STR,Racing Point,16,19,Collision,0.0,44,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,NOR,McLaren,10,20,Collision,0.0,44,False,False,20.147727272727273,21.070129870129865
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,HAM,Mercedes,1,1,Finished,25.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,VET,Ferrari,4,2,Finished,18.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,BOT,Mercedes,2,3,Finished,15.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,VER,Red Bull Racing,3,4,Finished,12.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,GAS,Red Bull Racing,8,5,Finished,11.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,SAI,McLaren,9,6,Finished,8.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,KVY,Toro Rosso,7,7,Finished,6.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,ALB,Toro Rosso,10,8,Finished,4.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,RIC,Renault,6,9,Finished,2.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,GRO,Haas F1 Team,13,10,Finished,1.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,NOR,McLaren,12,11,Finished,0.0,78,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,PER,Racing Point,16,12,+1 Lap,0.0,77,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,HUL,Renault,11,13,+1 Lap,0.0,77,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,MAG,Haas F1 Team,5,14,+1 Lap,0.0,77,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,RUS,Williams,19,15,+1 Lap,0.0,77,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,STR,Racing Point,17,16,+1 Lap,0.0,77,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,RAI,Alfa Romeo Racing,14,17,+1 Lap,0.0,77,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,KUB,Williams,20,18,+1 Lap,0.0,77,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,GIO,Alfa Romeo Racing,18,19,+2 Laps,0.0,76,False,True,22.754676258992802,21.43896103896104
2019,6,Monte Carlo,Monaco,Monaco Grand Prix,LEC,Ferrari,15,20,Collision,0.0,16,False,True,22.754676258992802,21.43896103896104
2019,7,Montréal,Canada,Canadian Grand Prix,HAM,Mercedes,2,1,Finished,25.0,70,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,VET,Ferrari,1,2,Finished,18.0,70,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,LEC,Ferrari,3,3,Finished,15.0,70,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,BOT,Mercedes,6,4,Finished,13.0,70,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,VER,Red Bull Racing,9,5,Finished,10.0,70,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,RIC,Renault,4,6,+1 Lap,8.0,69,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,HUL,Renault,7,7,+1 Lap,6.0,69,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,GAS,Red Bull Racing,5,8,+1 Lap,4.0,69,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,STR,Racing Point,17,9,+1 Lap,2.0,69,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,KVY,Toro Rosso,10,10,+1 Lap,1.0,69,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,SAI,McLaren,11,11,+1 Lap,0.0,69,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,PER,Racing Point,15,12,+1 Lap,0.0,69,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,GIO,Alfa Romeo Racing,12,13,+1 Lap,0.0,69,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,GRO,Haas F1 Team,14,14,+1 Lap,0.0,69,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,RAI,Alfa Romeo Racing,16,15,+1 Lap,0.0,69,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,RUS,Williams,18,16,+2 Laps,0.0,68,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,MAG,Haas F1 Team,0,17,+2 Laps,0.0,68,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,KUB,Williams,19,18,+3 Laps,0.0,67,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,ALB,Toro Rosso,13,19,Collision damage,0.0,59,False,False,29.368253968253967,22.5
2019,7,Montréal,Canada,Canadian Grand Prix,NOR,McLaren,8,20,Suspension,0.0,8,False,False,29.368253968253967,22.5
2019,8,Le Castellet,France,French Grand Prix,HAM,Mercedes,1,1,Finished,25.0,53,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,BOT,Mercedes,2,2,Finished,18.0,53,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,LEC,Ferrari,3,3,Finished,15.0,53,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,VER,Red Bull Racing,4,4,Finished,12.0,53,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,VET,Ferrari,7,5,Finished,11.0,53,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,SAI,McLaren,6,6,Finished,8.0,53,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,RAI,Alfa Romeo Racing,12,7,+1 Lap,6.0,52,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,HUL,Renault,13,8,+1 Lap,4.0,52,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,NOR,McLaren,5,9,+1 Lap,2.0,52,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,GAS,Red Bull Racing,9,10,+1 Lap,1.0,52,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,RIC,Renault,8,11,+1 Lap,0.0,52,False,False,26.89421487603306,26.27051282051282
